item_category,stock_level,days_to_expiry,avg_daily_sales,sold_in_time
meat,62,6,7.34616869615952,0
snacks,84,8,5.535110594719333,0
fruits,89,9,18.671716659685035,1
snacks,86,5,3.010847782743096,0
snacks,13,3,14.280824022752165,1
bread,59,5,4.595209255915112,0
fruits,19,5,17.751105522636653,1
fruits,49,5,19.26499047551324,1
fruits,12,3,9.843930166629688,1
snacks,61,4,17.702358124334502,1
meat,19,9,1.0977582443395806,0
fruits,76,9,16.578991430753902,1
snacks,9,2,5.343878068973547,1
bread,71,8,18.26532487611799,1
meat,28,8,1.0212821181220804,0
bread,78,7,11.567452965755383,1
meat,95,8,15.376080271913759,1
snacks,52,3,5.915078283260252,0
milk,83,6,4.669524427158568,0
meat,16,1,2.5978662648917084,0
bread,69,7,7.202237953562566,0
snacks,99,1,11.63704193386776,0
meat,12,9,3.2010332788248954,1
milk,25,1,8.157211877749177,0
milk,52,1,1.1723756884017744,0
fruits,85,7,16.554908989496994,1
fruits,53,2,3.440525643770636,0
bread,23,5,6.38351601704605,1
meat,16,8,1.350126656026132,0
meat,57,8,9.212574893957735,1
fruits,39,3,16.962308552083158,1
meat,53,7,8.450873017458736,1
meat,42,3,4.4104491450528345,0
milk,58,6,15.320277846959865,1
fruits,39,6,15.987332655544142,1
snacks,14,3,4.301316030843769,0
fruits,95,7,15.646228062278807,1
snacks,5,3,18.998659876870423,1
milk,35,8,4.161174151713174,0
bread,87,4,15.648701558110576,0
meat,93,1,14.462868087449959,0
milk,75,4,9.997903880266682,0
meat,18,7,2.1004887506171674,0
bread,76,4,2.419193937399226,0
bread,9,6,17.195878524774304,1
milk,74,9,19.812819082262294,1
bread,58,1,13.844992886548335,0
snacks,17,5,9.473207833196108,1
bread,7,7,13.303899224636245,1
meat,46,1,12.293521325342361,0
meat,13,4,8.288632947706814,1
meat,40,6,2.2468967469062457,0
meat,42,2,16.608746000741377,0
snacks,9,5,8.064837055535767,1
fruits,50,1,16.556927223784783,0
milk,27,6,5.797666244079262,1
meat,66,6,1.0195601170670345,0
bread,5,4,4.019827382258374,1
meat,29,8,9.902248918603103,1
bread,37,4,18.941769064198766,1
bread,38,8,2.9416787741806605,0
meat,83,8,17.229985714769754,1
snacks,8,5,11.013457828025379,1
bread,65,4,16.692494550198035,1
bread,86,2,6.66911418880986,0
meat,17,3,16.958996128776967,1
bread,71,3,15.683632820319286,0
bread,89,4,5.3710199775972445,0
meat,45,4,3.495367401778183,0
meat,4,5,17.493032128113565,1
milk,36,4,19.301496415362507,1
snacks,70,8,1.5947439612028087,0
snacks,31,6,14.894131272500026,1
bread,19,6,18.280965708008548,1
snacks,61,8,17.289841749757475,1
bread,54,7,19.325888973133964,1
milk,39,8,15.441787490323847,1
meat,91,2,9.403676485237295,0
meat,74,9,6.927087819407479,0
meat,90,1,7.094112068324422,0
snacks,19,8,14.764030779668222,1
milk,39,4,15.170903228588323,1
snacks,67,4,4.80682372742554,0
snacks,45,5,17.49433345632009,1
milk,13,8,14.583556763842704,1
milk,92,5,11.69225544052427,0
milk,58,8,9.959116741947742,1
milk,20,1,11.321423310009205,0
meat,92,9,4.025669027306025,0
fruits,72,6,4.87032373624921,0
fruits,61,3,2.732125317717642,0
milk,39,8,3.919502725061141,0
fruits,1,9,9.620179057500371,1
fruits,3,6,11.076733480836866,1
milk,77,7,1.3393759570880681,0
fruits,92,1,16.139158729416522,0
snacks,62,5,6.58919149352608,0
